CountryCode,Language,Percentage
SWZ,Swazi,89.9
SWZ,Zulu,2.0
SYC,English,3.8
SYC,French,1.3
SYC,Seselwa,91.3
SYR,Arabic,90.0
SYR,Kurdish,9.0
TCA,English,0.0
TCD,Arabic,12.3
TCD,Gorane,6.2
TCD,Hadjarai,6.7
TCD,Kanem-bornu,9.0
TCD,Mayo-kebbi,11.5
TCD,Ouaddai,8.7
TCD,Sara,27.7
TCD,Tandjile,6.5
TGO,Ane,5.7
TGO,Ewe,23.2
TGO,Gurma,3.4
TGO,Kabyé,13.8
TGO,Kotokoli,5.7
TGO,Moba,5.4
TGO,Naudemba,4.1
TGO,Watyi,10.3
THA,Chinese,12.1
THA,Khmer,1.3
THA,Kuy,1.1
THA,Lao,26.9
THA,Malay,3.6
THA,Thai,52.6
TJK,Russian,9.7
TJK,Tadzhik,62.2
TJK,Uzbek,23.2
TKL,English,0.0
TKL,Tokelau,0.0
TKM,Kazakh,2.0
TKM,Russian,6.7
TKM,Turkmenian,76.7
TKM,Uzbek,9.2
TMP,Portuguese,0.0
TMP,Sunda,0.0
TON,English,0.0
TON,Tongan,98.3
TTO,Creole English,2.9
TTO,English,93.5
TTO,Hindi,3.4
TUN,Arabic,69.9
TUN,Arabic-French,26.3
TUN,Arabic-French-English,3.2
TUR,Arabic,1.4
TUR,Kurdish,10.6
TUR,Turkish,87.6
TUV,English,0.0
TUV,Kiribati,7.5
TUV,Tuvalu,92.5
TWN,Ami,0.6
TWN,Atayal,0.4
TWN,Hakka,11.0
TWN,Mandarin Chinese,20.1
TWN,Min,66.7
TWN,Paiwan,0.3
TZA,Chaga and Pare,4.9
TZA,Gogo,3.9
TZA,Ha,3.5
TZA,Haya,5.9
TZA,Hehet,6.9
TZA,Luguru,4.9
TZA,Makonde,5.9
TZA,Nyakusa,5.4
TZA,Nyamwesi,21.1
TZA,Shambala,4.3
TZA,Swahili,8.8
UGA,Acholi,4.4
UGA,Ganda,18.1
UGA,Gisu,4.5
UGA,Kiga,8.3
UGA,Lango,5.9
UGA,Lugbara,4.7
UGA,Nkole,10.7
UGA,Rwanda,3.2
UGA,Soga,8.2
UGA,Teso,6.0
UKR,Belorussian,0.3
UKR,Bulgariana,0.3
UKR,Hungarian,0.3
UKR,Polish,0.1
UKR,Romanian,0.7
UKR,Russian,32.9
UKR,Ukrainian,64.7
UMI,English,0.0
URY,Spanish,95.7
USA,Chinese,0.6
USA,English,86.2
USA,French,0.7
USA,German,0.7
USA,Italian,0.6
USA,Japanese,0.2
USA,Korean,0.3
USA,Polish,0.3
USA,Portuguese,0.2
USA,Spanish,7.5
USA,Tagalog,0.4
USA,Vietnamese,0.2
UZB,Karakalpak,2.0
UZB,Kazakh,3.8
UZB,Russian,10.9
UZB,Tadzhik,4.4
UZB,Tatar,1.8
UZB,Uzbek,72.6
VAT,Italian,0.0
VCT,Creole English,99.1
VCT,English,0.0
VEN,Goajiro,0.4
VEN,Spanish,96.9
VEN,Warrau,0.1
VGB,English,0.0
VIR,English,81.7
VIR,French,2.5
VIR,Spanish,13.3
VNM,Chinese,1.4
VNM,Khmer,1.4
VNM,Man,0.7
VNM,Miao,0.9
VNM,Muong,1.5
VNM,Nung,1.1
VNM,Thai,1.6
VNM,Tho,1.8
VNM,Vietnamese,86.8
VUT,Bislama,56.6
VUT,English,28.3
VUT,French,14.2
WLF,Futuna,0.0
WLF,Wallis,0.0
WSM,English,0.6
WSM,Samoan,47.5
WSM,Samoan-English,52.0
YEM,Arabic,99.6
YEM,Soqutri,0.0
YUG,Albaniana,16.5
YUG,Hungarian,3.4
YUG,Macedonian,0.5
YUG,Romani,1.4
YUG,Serbo-Croatian,75.2
YUG,Slovak,0.7
ZAF,Afrikaans,14.3
ZAF,English,8.5
ZAF,Ndebele,1.5
ZAF,Northsotho,9.1
ZAF,Southsotho,7.6
ZAF,Swazi,2.5
ZAF,Tsonga,4.3
ZAF,Tswana,8.1
ZAF,Venda,2.2
ZAF,Xhosa,17.7
ZAF,Zulu,22.7
ZMB,Bemba,29.7
ZMB,Chewa,5.7
ZMB,Lozi,6.4
ZMB,Nsenga,4.3
ZMB,Nyanja,7.8
ZMB,Tongan,11.0
ZWE,English,2.2
ZWE,Ndebele,16.2
ZWE,Nyanja,2.2
ZWE,Shona,72.1
